Model,Univariate / Multivariate,MSE,Success %
ARIMA,Univariate,170766416.86,43.3
Linear Regression,Univariate,86105841.98,83.5
Linear Regression ,Multivariate,627776111.0,100.0
Linear Regression w Lasso ,Multivariate,629132479.33,100.0
Linear Regression w Ridge,Multivariate,629122991.38,100.0
SARIMA,Univariate,151149668.92,50.5
RNN - LSTM,Univariate,15133745.46,40.5
RNN - GRU,Univariate,7453959.03,75.9
RNN - GRU 1,Multivariate,8823055.69,20.3
RNN - GRU 2,Multivariate,19145021.11,5.1
RNN - GRU 3,Multivariate,10139610.5,19.0
